TV_ID,Dialogue_ID,Utterance_ID,Speaker,Gender,Age,Neuroticism,Extraversion,Openness,Agreeableness,Conscientiousness,Scene,FacePosition_LU,FacePosition_RD,Sentiment,Emotion,DA,Utterance
29,29_259,29_259_003,关谷神奇,male,young,high,low,high,high,high,other-venue,131_12,334_248,negative,anger,statement-non-opinion,我原以为世界人民都是相亲相爱相好的一家人
27,27_236,27_236_005,吕子乔,male,young,low,high,high,high,low,restaurant,258_45,396_195,negative,anger,statement-opinion,你脑袋被门挤了
36,36_056,36_056_000,其他,unknown,unknown,unknown,unknown,unknown,unknown,unknown,home,329_40,450_219,negative,anger,other,东海
27,27_163,27_163_014,陆展博,female,young,high,low,high,high,high,home,358_109,475_218,negative,anger,statement-non-opinion,我出3000
27,27_187,27_187_010,陈美嘉,female,young,high,high,low,high,low,home,0_0,0_0,negative,anger,statement-non-opinion,你本来就有一顶
27,27_383,27_383_001,其他,unknown,unknown,unknown,unknown,unknown,unknown,unknown,office,232_121,420_319,negative,anger,statement-opinion,我领悟的更加透彻
27,27_038,27_038_008,吕子乔,male,young,low,high,high,high,low,home,190_14,346_182,negative,anger,statement-non-opinion,你再来一下试试
27,27_237,27_237_003,吕子乔,male,young,low,high,high,high,low,restaurant,308_19,483_192,negative,anger,question,你能不能别乱摔东西
27,27_466,27_466_012,其他,unknown,unknown,unknown,unknown,unknown,unknown,unknown,entertainment-venue,97_101,347_313,negative,anger,conventional-closing,贤儿我要先走了
29,29_385,29_385_001,曾小贤,male,young,high,high,low,high,low,office,268_22,536_319,negative,anger,statement-non-opinion,容不得任何第三者的沙图诺兰
37,37_146,37_146_010,刘梅,female,middle-aged,high,high,low,high,high,home,322_42,493_275,negative,anger,statement-non-opinion,甭提了
30,30_132,30_132_004,吕子乔,male,young,low,high,high,high,low,home,372_33,478_202,negative,anger,question,你他妈谁啊
27,27_252,27_252_001,陆展博,female,young,high,low,high,high,high,home,491_21,634_153,negative,anger,statement-non-opinion,我在大学里很受欢迎的
28,28_145,28_145_003,秦羽墨,female,young,high,high,high,high,high,home,54_80,150_212,negative,anger,statement-non-opinion,该死
