TV_ID,Dialogue_ID,Utterance_ID,Speaker,Gender,Age,Neuroticism,Extraversion,Openness,Agreeableness,Conscientiousness,Scene,FacePosition_LU,FacePosition_RD,Sentiment,Emotion,DA,Utterance
29,29_189,29_189_003,胡一菲,female,young,low,high,low,low,high,home,370_11,585_249,negative,astonished,question,你见他们干吗
34,34_166,34_166_010,其他,unknown,unknown,unknown,unknown,unknown,unknown,unknown,restaurant,392_93,534_261,negative,worried,statement-non-opinion,你们非要给整成这么大的事
29,29_105,29_105_008,曾小贤,male,young,high,high,low,high,low,home,126_52,472_402,negative,fear,statement-non-opinion,你就真成了笑话了
29,29_066,29_066_007,胡一菲,female,young,low,high,low,low,high,home,0_0,0_0,negative,negative-other,statement-non-opinion,把我这张也放进去
28,28_181,28_181_000,吕子乔,male,young,low,high,high,high,low,home,0_0,0_0,negative,depress,statement-non-opinion,羽墨 有件事情我不得不告诉你
37,37_226,37_226_001,其他,unknown,unknown,unknown,unknown,unknown,unknown,unknown,home,258_28,430_258,negative,worried,other,小雪、小雨
27,27_386,27_386_008,陈美嘉,female,young,high,high,low,high,low,home,334_55,540_257,negative,negative-other,statement-opinion,反正我就没有喜欢他
37,37_201,37_201_000,其他,unknown,unknown,unknown,unknown,unknown,unknown,unknown,home,0_0,0_0,negative,worried,other,刘姐
28,28_144,28_144_004,秦羽墨,female,young,high,high,high,high,high,home,130_86,220_180,negative,anger,statement-non-opinion,退后 我说了我不要依赖别人
28,28_092,28_092_003,秦羽墨,female,young,high,high,high,high,high,home,242_34,354_203,negative,depress,statement-non-opinion,否则她找不到我
27,27_358,27_358_006,胡一菲,female,young,low,high,low,low,high,other-venue,494_89,581_171,negative,negative-other,statement-opinion,不要算了
36,36_183,36_183_008,刘梅,female,middle-aged,high,high,low,high,high,home,288_33,486_269,negative,negative-other,statement-opinion,全是恶果
27,27_004,27_004_001,陆展博,female,young,high,low,high,high,high,car,3_90,251_432,negative,negative-other,question,爱情公寓
27,27_280,27_280_002,胡一菲,female,young,low,high,low,low,high,entertainment-venue,0_0,0_0,negative,negative-other,statement-non-opinion,你别指 我都说了是偷窥
30,30_151,30_151_005,诺澜,female,young,low,low,high,high,high,office,340_49,511_272,negative,worried,question,会不会想我
29,29_382,29_382_005,关谷神奇,male,young,high,low,high,high,high,outdoor,452_27,695_280,negative,fear,question,为什么
28,28_199,28_199_010,张伟,male,young,low,low,low,high,high,home,312_8,436_144,negative,negative-other,statement-opinion,被生在这个到处都是雷电的世界
